time,y_on,y_off,y_cool,P,wind,Spot Price,H2,sum x,Q cooling,T,Target T,Temp difference,Delta T eff,Q net,Q limit
0,0.0,1.0,0.0,0.0,287360.6382,45.45,0.0,1.0,0.0,298.15,298.15,0.0,0.0,0.0,30715.199999999997
1,1.0,0.0,1.0,135000.0,269210.2371,45.45,471.57382595929937,1.0,567.7136825447916,353.15,353.15,0.0,0.0,2246.5025740166566,30715.199999999997
2,1.0,0.0,1.0,135000.0,258996.8717,45.45,471.57382595929937,1.0,2227.847105225619,353.15,353.15,0.0,0.0,2227.847105225619,30715.199999999997
3,1.0,0.0,1.0,135000.0,270725.9771,45.45,471.57382595929937,1.0,2227.847105225619,353.15,353.15,0.0,0.0,2227.847105225619,30715.199999999997
4,1.0,0.0,1.0,135000.0,287280.1971,45.45,471.57382595929937,1.0,2227.847105225619,353.15,353.15,0.0,0.0,2227.847105225619,30715.199999999997
5,1.0,0.0,1.0,135000.0,303026.9252,45.45,471.57382595929937,1.0,2227.847105225619,353.15,353.15,0.0,0.0,2227.847105225619,30715.199999999997
6,1.0,0.0,1.0,135000.0,344884.094,38.88,471.57382595929937,1.0,2227.847105225619,353.15,353.15,0.0,0.0,2227.847105225619,30715.199999999997
7,1.0,0.0,1.0,135000.0,370621.523,38.88,471.57382595929937,1.0,2227.847105225619,353.15,353.15,0.0,0.0,2227.847105225619,30715.199999999997
8,1.0,0.0,1.0,135000.0,369356.207,38.88,471.57382595929937,1.0,2227.847105225619,353.15,353.15,0.0,0.0,2227.847105225619,30715.199999999997
9,1.0,0.0,1.0,135000.0,377456.559,38.88,471.57382595929937,1.0,2227.847105225619,353.15,353.15,0.0,0.0,2227.847105225619,30715.199999999997
10,1.0,0.0,1.0,135000.0,357732.314,38.88,471.57382595929937,1.0,2227.847105225619,353.15,353.15,0.0,0.0,2227.847105225619,30715.199999999997
11,1.0,0.0,1.0,135000.0,353041.736,38.88,471.57382595929937,1.0,2227.847105225619,353.15,353.15,0.0,0.0,2227.847105225619,30715.199999999997
12,1.0,0.0,1.0,135000.0,349398.516,36.269999999999996,471.57382595929937,1.0,2227.847105225619,353.15,353.15,0.0,0.0,2227.847105225619,30715.199999999997
13,1.0,0.0,1.0,135000.0,345657.202,36.269999999999996,471.57382595929937,1.0,2227.847105225619,353.15,353.15,0.0,0.0,2227.847105225619,30715.199999999997
14,1.0,0.0,1.0,135000.0,335911.316,36.269999999999996,471.57382595929937,1.0,2227.847105225619,353.15,353.15,0.0,0.0,2227.847105225619,30715.199999999997
15,1.0,0.0,1.0,135000.0,334572.059,36.269999999999996,471.57382595929937,1.0,2227.847105225619,353.15,353.15,0.0,0.0,2227.847105225619,30715.199999999997
16,1.0,0.0,1.0,135000.0,331343.343,36.269999999999996,471.57382595929937,1.0,2227.847105225619,353.15,353.15,0.0,0.0,2227.847105225619,30715.199999999997
17,1.0,0.0,1.0,135000.0,326532.0564,36.269999999999996,471.57382595929937,1.0,2227.847105225619,353.15,353.15,0.0,0.0,2227.847105225619,30715.199999999997
18,1.0,0.0,1.0,135000.0,331480.1751,35.099999999999994,471.57382595929937,1.0,2227.847105225619,353.15,353.15,0.0,0.0,2227.847105225619,30715.199999999997
19,1.0,0.0,1.0,135000.0,334606.7511,35.099999999999994,471.57382595929937,1.0,2227.847105225619,353.15,353.15,0.0,0.0,2227.847105225619,30715.199999999997
20,1.0,0.0,1.0,135000.0,346433.532,35.099999999999994,471.57382595929937,1.0,2227.847105225619,353.15,353.15,0.0,0.0,2227.847105225619,30715.199999999997
21,1.0,0.0,1.0,135000.0,345408.94,35.099999999999994,471.57382595929937,1.0,2227.847105225619,353.15,353.15,0.0,0.0,2227.847105225619,30715.199999999997
22,1.0,0.0,1.0,135000.0,358824.306,35.099999999999994,471.57382595929937,1.0,2227.847105225619,353.15,353.15,0.0,0.0,2227.847105225619,30715.199999999997
23,1.0,0.0,1.0,135000.0,353195.287,35.099999999999994,471.57382595929937,1.0,2227.847105225619,353.15,353.15,0.0,0.0,2227.847105225619,30715.199999999997
