time,y_on,y_off,y_standby,y_cold_start,y_cool,P,wind,Spot Price,H2,sum x,Q cooling,T,Target T,Temp difference,Delta T eff,Q net,Q limit,P_grid,z_shutdown_begin,deg_on_cost,degradation_cost
0,0.0,1.0,0.0,0.0,0.0,0.0,287360.6382,45.45,0.0,1.0,0.0,298.15,298.15,0.0,0.0,0.0,30715.199999999997,287360.6382,-0.0,0.0,0.0
1,0.0,0.0,0.0,1.0,0.0,13500.0,269210.2371,45.45,0.0,1.0,0.0,304.0393867358937,353.15,-49.11061326410629,-49.11061326410629,179.76430963272912,-120129.03085296776,248960.23710000003,0.0,0.0,0.0
2,0.0,0.0,0.0,1.0,0.0,13500.0,258996.8717,45.45,0.0,1.0,0.0,309.4765132461741,353.15,-43.6734867538259,-43.6734867538259,165.95977430883536,-103428.78803411132,238746.8717,-0.0,0.0,0.0
3,0.0,0.0,0.0,1.0,0.0,13500.0,270725.9771,45.45,0.0,1.0,0.0,314.4670809066813,353.15,-38.682919093318674,-38.682919093318674,152.329264556331,-88100.15965351017,250475.97710000002,-0.0,0.0,0.0
4,1.0,0.0,-0.0,-0.0,1.0,128250.0,287280.1971,45.45,412.40017956601946,1.0,2705.141004441026,325.65099999999995,298.15,27.500999999999976,27.500999999999976,3046.5126251134525,115185.07151999991,152280.1971,-0.0,72.64269565646259,72.64269565646259
5,1.0,0.0,-0.0,-0.0,1.0,128250.0,303026.9252,45.45,422.06291858792235,1.0,2796.7256650238387,325.65099999999995,298.15,27.500999999999976,27.500999999999976,2796.7256650238396,115185.07151999991,168026.9252,-0.0,108.62778792158986,108.62778792158986
6,1.0,0.0,-0.0,-0.0,1.0,128250.0,344884.094,38.88,422.06291858792235,1.0,2796.7256650238387,325.65099999999995,298.15,27.500999999999976,27.500999999999976,2796.7256650238396,115185.07151999991,209884.09399999998,-0.0,108.62778792158983,108.62778792158983
7,1.0,0.0,-0.0,-0.0,1.0,128250.0,370621.523,38.88,422.06291858792235,1.0,2796.7256650238387,325.65099999999995,298.15,27.500999999999976,27.500999999999976,2796.7256650238396,115185.07151999991,235621.523,-0.0,108.62778792158983,108.62778792158983
8,1.0,0.0,-0.0,-0.0,1.0,128250.0,369356.207,38.88,422.06291858792235,1.0,2796.7256650238387,325.65099999999995,298.15,27.500999999999976,27.500999999999976,2796.7256650238396,115185.07151999991,234356.207,-0.0,108.62778792158983,108.62778792158983
9,1.0,0.0,-0.0,-0.0,1.0,128250.0,377456.559,38.88,422.06291858792235,1.0,2796.7256650238387,325.65099999999995,298.15,27.500999999999976,27.500999999999976,2796.7256650238396,115185.07151999991,242456.559,-0.0,108.62778792158983,108.62778792158983
10,1.0,0.0,-0.0,-0.0,1.0,128250.0,357732.314,38.88,422.06291858792235,1.0,2949.403883844606,320.649,298.15,22.499000000000024,22.499000000000024,2796.7256650238396,99821.32848000007,222732.314,-0.0,108.62778792158983,108.62778792158983
11,1.0,0.0,-0.0,-0.0,1.0,128250.0,353041.736,38.88,422.06291858792235,1.0,2798.3612482440194,320.65099999999995,298.15,22.500999999999976,22.500999999999976,2798.4222951127995,99827.47151999993,218041.73599999998,-0.0,108.62778792158983,108.62778792158983
12,1.0,0.0,-0.0,-0.0,1.0,128250.0,349398.516,36.269999999999996,417.263119516242,1.0,2920.8152801742617,320.65099999999995,298.15,22.500999999999976,22.500999999999976,2920.8152801742617,99827.47151999993,214398.516,-0.0,88.8320833350898,88.8320833350898
13,1.0,0.0,-0.0,-0.0,1.0,128250.0,345657.202,36.269999999999996,417.263119516242,1.0,3073.493498995029,315.649,298.15,17.499000000000024,17.499000000000024,2920.8152801742617,84463.72848000006,210657.202,-0.0,88.8320833350898,88.8320833350898
14,1.0,0.0,-0.0,-0.0,1.0,128250.0,335911.316,36.269999999999996,417.263119516242,1.0,2769.8336914424544,320.65099999999995,298.15,22.500999999999976,22.500999999999976,2922.511910263221,99827.47151999993,200911.316,-0.0,88.8320833350898,88.8320833350898
15,1.0,0.0,-0.0,-0.0,1.0,128250.0,334572.059,36.269999999999996,417.263119516242,1.0,2920.8152801742617,320.65099999999995,298.15,22.500999999999976,22.500999999999976,2920.8152801742617,99827.47151999993,199572.059,-0.0,88.83208333508986,88.83208333508986
16,1.0,0.0,-0.0,-0.0,1.0,128250.0,331343.343,36.269999999999996,417.263119516242,1.0,2920.8152801742617,320.65099999999995,298.15,22.500999999999976,22.500999999999976,2920.8152801742617,99827.47151999993,196343.343,-0.0,88.8320833350898,88.8320833350898
17,1.0,0.0,-0.0,-0.0,1.0,128250.0,326532.0564,36.269999999999996,417.263119516242,1.0,2920.8152801742617,320.65099999999995,298.15,22.500999999999976,22.500999999999976,2920.8152801742617,99827.47151999993,191532.0564,-0.0,88.8320833350898,88.8320833350898
18,1.0,0.0,-0.0,-0.0,1.0,128250.0,331480.1751,35.099999999999994,417.263119516242,1.0,3073.4934989950298,315.649,298.15,17.499000000000024,17.499000000000024,2920.8152801742617,84463.72848000006,196480.1751,-0.0,88.8320833350898,88.8320833350898
19,1.0,-0.0,-0.0,0.0,1.0,128250.0,334606.7511,35.099999999999994,417.263119516242,1.0,2922.5119102632198,315.649,298.15,17.499000000000024,17.499000000000024,2922.511910263221,84463.72848000006,199606.7511,-0.0,88.83208333508986,88.83208333508986
20,1.0,-0.0,-0.0,-0.0,1.0,128250.0,346433.532,35.099999999999994,417.263119516242,1.0,2922.5119102632207,315.649,298.15,17.499000000000024,17.499000000000024,2922.511910263221,84463.72848000006,211433.532,-0.0,88.83208333508983,88.83208333508983
21,1.0,-0.0,-0.0,-0.0,1.0,128250.0,345408.94,35.099999999999994,417.263119516242,1.0,2922.5119102632207,315.649,298.15,17.499000000000024,17.499000000000024,2922.511910263221,84463.72848000006,210408.94,-0.0,88.83208333508983,88.83208333508983
22,1.0,-0.0,-0.0,-0.0,1.0,128250.0,358824.306,35.099999999999994,417.263119516242,1.0,2769.8336914424535,320.65099999999995,298.15,22.500999999999976,22.500999999999976,2922.511910263221,99827.47151999993,223824.30599999998,-0.0,88.83208333508983,88.83208333508983
23,1.0,-0.0,-0.0,0.0,1.0,128250.0,353195.287,35.099999999999994,417.263119516242,1.0,3073.493498995029,315.649,298.15,17.499000000000024,17.499000000000024,2920.8152801742617,84463.72848000006,218195.287,-0.0,88.83208333508986,88.83208333508986
24,1.0,-0.0,-0.0,0.0,1.0,128250.0,331238.8774,34.980000000000004,417.263119516242,1.0,2922.5119102632198,315.649,298.15,17.499000000000024,17.499000000000024,2922.511910263221,84463.72848000006,196238.8774,-0.0,88.83208333508986,88.83208333508986
25,1.0,-0.0,-0.0,-0.0,1.0,128250.0,328037.07,34.980000000000004,417.263119516242,1.0,2922.5119102632207,315.649,298.15,17.499000000000024,17.499000000000024,2922.511910263221,84463.72848000006,193037.07,-0.0,88.83208333508983,88.83208333508983
26,1.0,-0.0,-0.0,-0.0,1.0,128250.0,332128.408,34.980000000000004,417.263119516242,1.0,2769.8336914424535,320.65099999999995,298.15,22.500999999999976,22.500999999999976,2922.511910263221,99827.47151999993,197128.408,-0.0,88.83208333508983,88.83208333508983
27,1.0,-0.0,-0.0,0.0,1.0,128250.0,333708.943,34.980000000000004,417.263119516242,1.0,3073.493498995029,315.649,298.15,17.499000000000024,17.499000000000024,2920.8152801742617,84463.72848000006,198708.94300000003,-0.0,88.83208333508986,88.83208333508986
28,1.0,-0.0,-0.0,0.0,1.0,128250.0,353350.529,34.980000000000004,417.263119516242,1.0,2922.5119102632198,315.649,298.15,17.499000000000024,17.499000000000024,2922.511910263221,84463.72848000006,218350.52899999998,-0.0,88.83208333508986,88.83208333508986
29,1.0,-0.0,-0.0,-0.0,1.0,128250.0,370554.872,34.980000000000004,417.263119516242,1.0,2922.5119102632207,315.649,298.15,17.499000000000024,17.499000000000024,2922.511910263221,84463.72848000006,235554.87199999997,-0.0,88.83208333508983,88.83208333508983
30,1.0,-0.0,-0.0,-0.0,1.0,128250.0,383697.358,34.05,417.263119516242,1.0,2922.5119102632207,315.649,298.15,17.499000000000024,17.499000000000024,2922.511910263221,84463.72848000006,248697.358,-0.0,88.83208333508983,88.83208333508983
31,1.0,-0.0,-0.0,-0.0,1.0,128250.0,393487.557,34.05,417.263119516242,1.0,2922.5119102632207,315.649,298.15,17.499000000000024,17.499000000000024,2922.511910263221,84463.72848000006,258487.55699999997,-0.0,88.83208333508983,88.83208333508983
32,1.0,-0.0,-0.0,-0.0,1.0,128250.0,395637.811,34.05,417.263119516242,1.0,2769.8336914424526,320.65099999999995,298.15,22.500999999999976,22.500999999999976,2922.511910263221,99827.47151999993,260637.811,-0.0,88.83208333508983,88.83208333508983
33,1.0,-0.0,-0.0,0.0,1.0,128250.0,396279.061,34.05,417.263119516242,1.0,3073.493498995029,315.649,298.15,17.499000000000024,17.499000000000024,2920.8152801742617,84463.72848000006,261279.061,-0.0,88.83208333508986,88.83208333508986
34,1.0,-0.0,-0.0,-0.0,1.0,128250.0,396465.92,34.05,417.263119516242,1.0,2769.8336914424535,320.65099999999995,298.15,22.500999999999976,22.500999999999976,2922.511910263221,99827.47151999993,261465.91999999998,-0.0,88.83208333508983,88.83208333508983
35,1.0,-0.0,-0.0,0.0,1.0,128250.0,396145.665,34.05,417.263119516242,1.0,3073.493498995029,315.649,298.15,17.499000000000024,17.499000000000024,2920.8152801742617,84463.72848000006,261145.66499999998,-0.0,88.83208333508986,88.83208333508986
36,1.0,-0.0,-0.0,-0.0,1.0,128250.0,393578.621,29.549999999999997,417.263119516242,1.0,2922.5119102632207,315.649,298.15,17.499000000000024,17.499000000000024,2922.511910263221,84463.72848000006,258578.62099999998,-0.0,88.83208333508983,88.83208333508983
37,1.0,-0.0,-0.0,-0.0,1.0,128250.0,393502.786,29.549999999999997,417.263119516242,1.0,2922.5119102632207,315.649,298.15,17.499000000000024,17.499000000000024,2922.511910263221,84463.72848000006,258502.78600000002,-0.0,88.83208333508983,88.83208333508983
38,1.0,-0.0,-0.0,-0.0,1.0,128250.0,392944.484,29.549999999999997,417.263119516242,1.0,2922.5119102632207,315.649,298.15,17.499000000000024,17.499000000000024,2922.511910263221,84463.72848000006,257944.484,-0.0,88.83208333508983,88.83208333508983
39,1.0,-0.0,-0.0,-0.0,1.0,128250.0,393558.116,29.549999999999997,417.263119516242,1.0,2769.8336914424535,320.65099999999995,298.15,22.500999999999976,22.500999999999976,2922.511910263221,99827.47151999993,258558.11599999998,-0.0,88.83208333508983,88.83208333508983
40,1.0,-0.0,-0.0,0.0,1.0,128250.0,393577.983,29.549999999999997,417.263119516242,1.0,3073.493498995029,315.649,298.15,17.499000000000024,17.499000000000024,2920.8152801742617,84463.72848000006,258577.983,-0.0,88.83208333508986,88.83208333508986
41,1.0,-0.0,-0.0,0.0,1.0,128250.0,393577.392,29.549999999999997,417.263119516242,1.0,2617.277566359244,325.649,298.15,27.499000000000024,27.499000000000024,2922.511910263221,115178.92848000006,258577.392,-0.0,88.83208333508986,88.83208333508986
42,1.0,-0.0,-0.0,-0.0,1.0,128250.0,392849.416,61.53,426.81197613250845,1.0,2522.5601950048876,330.65099999999995,298.15,32.500999999999976,32.500999999999976,2675.2384138256543,130542.67151999992,257849.41600000003,-0.0,132.83318607052482,132.83318607052482
43,1.0,-0.0,-0.0,0.0,1.0,128250.0,393050.361,61.53,426.81197613250845,1.0,2673.541783736695,330.65099999999995,298.15,32.500999999999976,32.500999999999976,2673.541783736695,130542.67151999992,258050.36099999998,-0.0,132.83318607052485,132.83318607052485
44,1.0,-0.0,-0.0,0.0,1.0,128250.0,396451.041,61.53,426.81197613250845,1.0,2673.541783736695,330.65099999999995,298.15,32.500999999999976,32.500999999999976,2673.541783736695,130542.67151999992,261451.04100000003,-0.0,132.83318607052485,132.83318607052485
45,1.0,-0.0,-0.0,0.0,1.0,128250.0,397170.91,61.53,426.81197613250845,1.0,2673.541783736695,330.65099999999995,298.15,32.500999999999976,32.500999999999976,2673.541783736695,130542.67151999992,262170.91,-0.0,132.83318607052485,132.83318607052485
46,1.0,-0.0,-0.0,0.0,1.0,128250.0,396846.467,61.53,426.81197613250845,1.0,2826.220002557462,325.649,298.15,27.499000000000024,27.499000000000024,2673.541783736695,115178.92848000006,261846.467,-0.0,132.83318607052485,132.83318607052485
47,1.0,-0.0,-0.0,-0.0,1.0,128250.0,396955.669,61.53,426.81197613250845,1.0,2522.5601950048867,330.65099999999995,298.15,32.500999999999976,32.500999999999976,2675.2384138256543,130542.67151999992,261955.669,-0.0,132.83318607052482,132.83318607052482
48,1.0,-0.0,-0.0,0.0,1.0,128250.0,397107.861,76.19999999999999,426.81197613250845,1.0,2673.541783736694,330.65099999999995,298.15,32.500999999999976,32.500999999999976,2673.541783736695,130542.67151999992,262107.86099999998,-0.0,132.83318607052482,132.83318607052482
49,1.0,-0.0,-0.0,0.0,1.0,128250.0,396824.763,76.19999999999999,426.81197613250845,1.0,2673.541783736694,330.65099999999995,298.15,32.500999999999976,32.500999999999976,2673.541783736695,130542.67151999992,261824.76299999998,-0.0,132.83318607052482,132.83318607052482
50,1.0,-0.0,-0.0,0.0,1.0,128250.0,396700.661,76.19999999999999,426.81197613250845,1.0,2673.541783736694,330.65099999999995,298.15,32.500999999999976,32.500999999999976,2673.541783736695,130542.67151999992,261700.66100000002,-0.0,132.83318607052482,132.83318607052482
51,1.0,-0.0,-0.0,0.0,1.0,128250.0,395323.467,76.19999999999999,426.81197613250845,1.0,2673.541783736694,330.65099999999995,298.15,32.500999999999976,32.500999999999976,2673.541783736695,130542.67151999992,260323.467,-0.0,132.83318607052482,132.83318607052482
52,1.0,-0.0,-0.0,0.0,1.0,128250.0,393308.974,76.19999999999999,426.81197613250845,1.0,2826.220002557461,325.649,298.15,27.499000000000024,27.499000000000024,2673.541783736695,115178.92848000006,258308.974,-0.0,132.83318607052482,132.83318607052482
53,1.0,-0.0,-0.0,-0.0,1.0,128250.0,393951.48,76.19999999999999,426.81197613250845,1.0,2522.560195004887,330.65099999999995,298.15,32.500999999999976,32.500999999999976,2675.2384138256543,130542.67151999992,258951.47999999998,-0.0,132.83318607052482,132.83318607052482
54,1.0,-0.0,-0.0,0.0,1.0,128250.0,392610.128,76.350003,426.81197613250845,1.0,2673.541783736694,330.65099999999995,298.15,32.500999999999976,32.500999999999976,2673.541783736695,130542.67151999992,257610.12800000003,-0.0,132.83318607052482,132.83318607052482
55,1.0,-0.0,-0.0,0.0,1.0,128250.0,395120.818,76.350003,426.81197613250845,1.0,2673.5417837366945,330.65099999999995,298.15,32.500999999999976,32.500999999999976,2673.541783736695,130542.67151999992,260120.81800000003,-0.0,132.8331860705248,132.8331860705248
56,1.0,-0.0,-0.0,0.0,1.0,128250.0,392589.1998,76.350003,426.81197613250845,1.0,2673.541783736694,330.65099999999995,298.15,32.500999999999976,32.500999999999976,2673.541783736695,130542.67151999992,257589.1998,-0.0,132.83318607052482,132.83318607052482
57,1.0,-0.0,-0.0,0.0,1.0,128250.0,391541.291,76.350003,426.81197613250845,1.0,2673.541783736694,330.65099999999995,298.15,32.500999999999976,32.500999999999976,2673.541783736695,130542.67151999992,256541.29100000003,-0.0,132.83318607052482,132.83318607052482
58,1.0,-0.0,-0.0,0.0,1.0,128250.0,390602.732,76.350003,426.81197613250845,1.0,2673.541783736694,330.65099999999995,298.15,32.500999999999976,32.500999999999976,2673.541783736695,130542.67151999992,255602.73200000002,-0.0,132.83318607052482,132.83318607052482
59,1.0,-0.0,-0.0,0.0,1.0,128250.0,388203.047,76.350003,426.81197613250845,1.0,2826.220002557461,325.649,298.15,27.499000000000024,27.499000000000024,2673.541783736695,115178.92848000006,253203.04700000002,-0.0,132.83318607052482,132.83318607052482
60,1.0,-0.0,-0.0,-0.0,1.0,128250.0,388357.895,73.88999700000001,426.81197613250845,1.0,2675.238413825655,325.649,298.15,27.499000000000024,27.499000000000024,2675.2384138256543,115178.92848000006,253357.89500000002,-0.0,132.83318607052482,132.83318607052482
61,1.0,-0.0,-0.0,-0.0,1.0,128250.0,380808.018,73.88999700000001,426.81197613250845,1.0,2675.238413825655,325.649,298.15,27.499000000000024,27.499000000000024,2675.2384138256543,115178.92848000006,245808.01799999998,-0.0,132.83318607052482,132.83318607052482
62,1.0,-0.0,-0.0,-0.0,1.0,128250.0,368809.372,73.88999700000001,426.81197613250845,1.0,2522.5601950048876,330.65099999999995,298.15,32.500999999999976,32.500999999999976,2675.2384138256543,130542.67151999992,233809.37199999997,-0.0,132.83318607052482,132.83318607052482
63,1.0,-0.0,-0.0,0.0,1.0,128250.0,384379.138,73.88999700000001,426.81197613250845,1.0,2826.220002557462,325.649,298.15,27.499000000000024,27.499000000000024,2673.541783736695,115178.92848000006,249379.13799999998,-0.0,132.83318607052482,132.83318607052482
64,1.0,-0.0,-0.0,0.0,1.0,128250.0,383053.133,73.88999700000001,426.81197613250845,1.0,2675.238413825654,325.649,298.15,27.499000000000024,27.499000000000024,2675.2384138256543,115178.92848000006,248053.13299999997,-0.0,132.83318607052485,132.83318607052485
65,1.0,-0.0,-0.0,0.0,1.0,128250.0,377577.406,73.88999700000001,426.81197613250845,1.0,2522.5601950048867,330.65099999999995,298.15,32.500999999999976,32.500999999999976,2675.2384138256543,130542.67151999992,242577.40600000002,-0.0,132.83318607052485,132.83318607052485
66,1.0,-0.0,-0.0,-0.0,1.0,128250.0,380662.124,80.28,426.81197613250845,1.0,2673.5417837366954,330.65099999999995,298.15,32.500999999999976,32.500999999999976,2673.541783736695,130542.67151999992,245662.124,-0.0,132.83318607052482,132.83318607052482
67,1.0,-0.0,-0.0,-0.0,1.0,128250.0,380993.206,80.28,426.81197613250845,1.0,2673.541783736695,330.65099999999995,298.15,32.500999999999976,32.500999999999976,2673.541783736695,130542.67151999992,245993.206,-0.0,132.83318607052482,132.83318607052482
68,1.0,-0.0,-0.0,-0.0,1.0,128250.0,379752.238,80.28,426.81197613250845,1.0,2673.541783736693,330.65099999999995,298.15,32.500999999999976,32.500999999999976,2673.541783736695,130542.67151999992,244752.238,-0.0,132.83318607052482,132.83318607052482
69,1.0,-0.0,-0.0,-0.0,1.0,128250.0,378888.602,80.28,426.81197613250845,1.0,2826.220002557461,325.649,298.15,27.499000000000024,27.499000000000024,2673.541783736695,115178.92848000006,243888.602,-0.0,132.83318607052482,132.83318607052482
70,1.0,-0.0,-0.0,-0.0,1.0,128250.0,368957.385,80.28,426.81197613250845,1.0,2675.238413825654,325.649,298.15,27.499000000000024,27.499000000000024,2675.2384138256543,115178.92848000006,233957.385,-0.0,132.83318607052482,132.83318607052482
71,1.0,-0.0,-0.0,-0.0,1.0,128250.0,371167.686,80.28,426.81197613250845,1.0,2522.560195004887,330.65099999999995,298.15,32.500999999999976,32.500999999999976,2675.2384138256543,130542.67151999992,236167.686,-0.0,132.83318607052482,132.83318607052482
72,1.0,-0.0,-0.0,0.0,1.0,128250.0,361384.025,80.61000299999999,426.81197613250845,1.0,2673.541783736695,330.65099999999995,298.15,32.500999999999976,32.500999999999976,2673.541783736695,130542.67151999992,226384.02500000002,-0.0,132.83318607052482,132.83318607052482
73,1.0,-0.0,-0.0,0.0,1.0,128250.0,353402.2809,80.61000299999999,426.81197613250845,1.0,2826.220002557461,325.649,298.15,27.499000000000024,27.499000000000024,2673.541783736695,115178.92848000006,218402.2809,-0.0,132.83318607052485,132.83318607052485
74,1.0,-0.0,-0.0,0.0,1.0,128250.0,345500.329,80.61000299999999,426.81197613250845,1.0,2522.5601950048886,330.65099999999995,298.15,32.500999999999976,32.500999999999976,2675.2384138256543,130542.67151999992,210500.32900000003,-0.0,132.83318607052482,132.83318607052482
75,1.0,-0.0,-0.0,0.0,1.0,128250.0,340423.789,80.61000299999999,426.81197613250845,1.0,2673.541783736694,330.65099999999995,298.15,32.500999999999976,32.500999999999976,2673.541783736695,130542.67151999992,205423.789,-0.0,132.83318607052482,132.83318607052482
76,1.0,-0.0,-0.0,0.0,1.0,128250.0,335321.938,80.61000299999999,426.81197613250845,1.0,2826.220002557462,325.649,298.15,27.499000000000024,27.499000000000024,2673.541783736695,115178.92848000006,200321.93800000002,-0.0,132.83318607052482,132.83318607052482
77,1.0,-0.0,-0.0,0.0,1.0,128250.0,341398.261,80.61000299999999,426.81197613250845,1.0,2369.943023052899,335.65099999999995,298.15,37.500999999999976,37.500999999999976,2675.2384138256543,145900.27151999992,206398.261,-0.0,132.83318607052482,132.83318607052482
78,1.0,-0.0,0.0,0.0,1.0,128250.0,345107.582,86.46000000000001,431.5233179281724,1.0,2550.947109307165,335.65099999999995,298.15,37.500999999999976,37.500999999999976,2550.9471093071656,145900.27151999992,210107.582,-0.0,162.43074750369306,162.43074750369306
79,1.0,-0.0,0.0,0.0,1.0,128250.0,328759.9051,86.46000000000001,431.5233179281724,1.0,2550.947109307165,335.65099999999995,298.15,37.500999999999976,37.500999999999976,2550.9471093071656,145900.27151999992,193759.90509999997,-0.0,162.43074750369306,162.43074750369306
80,1.0,-0.0,0.0,0.0,1.0,128250.0,315423.667,86.46000000000001,431.5233179281724,1.0,2550.947109307165,335.65099999999995,298.15,37.500999999999976,37.500999999999976,2550.9471093071656,145900.27151999992,180423.66700000002,-0.0,162.43074750369303,162.43074750369303
81,1.0,-0.0,-0.0,0.0,1.0,128250.0,326629.624,86.46000000000001,431.5233179281724,1.0,2550.947109307166,335.65099999999995,298.15,37.500999999999976,37.500999999999976,2550.9471093071656,145900.27151999992,191629.624,-0.0,162.43074750369306,162.43074750369306
