time,P_stack,T_stack,H2,Q_delivered,W_pump,degradation_cost,y_on,y_off,y_standby,y_cold_start,wind,price,window_H2_max,active_mode
0,0.0,298.15,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,287360.6382,45.45,,
1,13500.0,304.0393867359022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,269210.2371,45.45,63009.57083147093,10.0
2,13500.0,309.4765132461889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,258996.8717,45.45,63459.910188678885,111.0
3,13500.0,314.46708090669597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,270725.9771,45.45,63910.249545886836,212.0
4,128250.0,350.649,412.40017956601946,40309.57742036163,9789.105206751576,72.64269565646264,1.0,0.0,0.0,0.0,287280.1971,45.45,64360.58890309478,398.0
5,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,303026.9252,45.45,64848.86743794466,1104.0
6,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,344884.094,38.88,64848.86743794466,1104.0
7,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,370621.523,38.88,64848.86743794466,1104.0
8,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,369356.207,38.88,64848.86743794466,1104.0
9,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,377456.559,38.88,64848.86743794466,1104.0
10,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,357732.314,38.88,64848.86743794466,1104.0
11,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,353041.736,38.88,64848.86743794466,1104.0
12,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,349398.516,36.269999999999996,64848.86743794466,1104.0
13,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,345657.202,36.269999999999996,64848.86743794466,1104.0
14,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,335911.316,36.269999999999996,64848.86743794466,1104.0
15,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,334572.059,36.269999999999996,64848.86743794466,1104.0
16,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,331343.343,36.269999999999996,64848.86743794466,1104.0
17,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,326532.0564,36.269999999999996,64848.86743794466,1104.0
18,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,331480.1751,35.099999999999994,64848.86743794466,1104.0
19,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,334606.7511,35.099999999999994,64848.86743794466,1104.0
20,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,346433.532,35.099999999999994,64848.86743794466,1104.0
21,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,345408.94,35.099999999999994,64514.06919367864,1104.0
22,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,358824.306,35.099999999999994,64063.72983647069,1104.0
23,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,353195.287,35.099999999999994,63613.390479262736,1104.0
24,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,331238.8774,34.980000000000004,63163.05112205479,1104.0
25,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,328037.07,34.980000000000004,62712.71176484684,1104.0
26,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,332128.408,34.980000000000004,62262.37240763889,1104.0
27,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,333708.943,34.980000000000004,62257.62480097147,1104.0
28,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,353350.529,34.980000000000004,62257.62480097147,1104.0
29,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,370554.872,34.980000000000004,62257.62480097147,1104.0
30,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,383697.358,34.05,62257.62480097147,1104.0
31,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,393487.557,34.05,62257.62480097147,1104.0
32,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,395637.811,34.05,62257.62480097147,1104.0
33,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,396279.061,34.05,62257.62480097147,1104.0
34,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,396465.92,34.05,62257.62480097147,1104.0
35,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,396145.665,34.05,62257.62480097147,1104.0
36,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,393578.621,29.549999999999997,62257.62480097147,1104.0
37,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,393502.786,29.549999999999997,62257.62480097147,1104.0
38,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,392944.484,29.549999999999997,62257.62480097147,1104.0
39,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,393558.116,29.549999999999997,62257.62480097147,1104.0
40,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,393577.983,29.549999999999997,62257.62480097147,1104.0
41,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,393577.392,29.549999999999997,62257.62480097147,1104.0
42,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,392849.416,61.53,62257.62480097147,1104.0
43,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,393050.361,61.53,62257.62480097147,1104.0
44,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,396451.041,61.53,62257.62480097147,1104.0
45,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,397170.91,61.53,62257.62480097147,1104.0
46,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,396846.467,61.53,62257.62480097147,1104.0
47,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,396955.669,61.53,62257.62480097147,1104.0
48,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,397107.861,76.19999999999999,62257.62480097147,1104.0
49,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,396824.763,76.19999999999999,62257.62480097147,1104.0
50,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,396700.661,76.19999999999999,62257.62480097147,1104.0
51,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,395323.467,76.19999999999999,62257.62480097147,1104.0
52,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,393308.974,76.19999999999999,62257.62480097147,1104.0
53,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,393951.48,76.19999999999999,62257.62480097147,1104.0
54,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,392610.128,76.350003,62257.62480097147,1104.0
55,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,395120.818,76.350003,62257.62480097147,1104.0
56,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,392589.1998,76.350003,62257.62480097147,1104.0
57,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,391541.291,76.350003,62257.62480097147,1104.0
58,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,390602.732,76.350003,62257.62480097147,1104.0
59,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,388203.047,76.350003,62257.62480097147,1104.0
60,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,388357.895,73.88999700000001,62257.62480097147,1104.0
61,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,380808.018,73.88999700000001,62257.62480097147,1104.0
62,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,368809.372,73.88999700000001,62257.62480097147,1104.0
63,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,384379.138,73.88999700000001,62257.62480097147,1104.0
64,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,383053.133,73.88999700000001,62257.62480097147,1104.0
65,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,377577.406,73.88999700000001,62257.62480097147,1104.0
66,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,380662.124,80.28,62257.62480097147,1104.0
67,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,380993.206,80.28,62257.62480097147,1104.0
68,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,379752.238,80.28,62257.62480097147,1104.0
69,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,378888.602,80.28,62257.62480097147,1104.0
