time,P_stack,T_stack,H2,Q_delivered,W_pump,degradation_cost,y_on,y_off,y_standby,y_cold_start,wind,price,window_H2_max,active_mode
0,0.0,298.15,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,399781.601,188.700006,,
1,13500.0,304.03938673590085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,399783.646,188.700006,24340.853065218264,10.0
2,13500.0,309.4765132461812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,399783.425,188.700006,24340.853065218264,111.0
3,13500.0,314.46708090669586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,399790.581,188.700006,24340.853065218264,212.0
4,125550.0,350.65099999999995,404.71202874107246,39148.53088851312,9507.147236027278,72.50640911951726,1.0,0.0,0.0,0.0,399779.452,188.700006,24340.853065218264,396.0
5,126900.0,350.649,441.3756047939902,22016.337108999658,356.44174250003493,296.69022302802944,1.0,0.0,0.0,0.0,399773.887,188.700006,24340.853065218264,1103.0
6,126900.0,350.649,441.3756047939902,22016.337108999658,356.44174250003493,296.69022302802944,1.0,0.0,0.0,0.0,399785.412,185.069997,24340.853065218264,1103.0
7,126900.0,350.649,441.3756047939902,22016.337108999658,356.4417425000313,296.69022302802944,1.0,0.0,0.0,0.0,399781.552,185.069997,24090.21077029084,1103.0
8,126900.0,350.649,441.3756047939902,22016.337108999658,356.44174250003493,296.69022302802944,1.0,0.0,0.0,0.0,399780.097,185.069997,24090.21077029084,1103.0
9,126900.0,350.649,441.3756047939902,22016.337108999658,356.44174250003493,296.69022302802944,1.0,0.0,0.0,0.0,399777.253,185.069997,24090.21077029084,1103.0
10,126900.0,350.649,441.3756047939902,22016.337108999658,356.44174250003493,296.69022302802944,1.0,0.0,0.0,0.0,399783.32,185.069997,24090.21077029084,1103.0
11,126900.0,350.649,441.3756047939902,22016.337108999658,356.44174250003493,296.69022302802944,1.0,0.0,0.0,0.0,399775.783,185.069997,24090.21077029084,1103.0
12,126900.0,350.649,441.3756047939902,22016.337108999658,356.44174250003493,296.69022302802944,1.0,0.0,0.0,0.0,399787.31,159.02999400000002,24090.21077029084,1103.0
13,126900.0,350.649,441.3756047939902,22016.337108999658,356.4417425000313,296.69022302802944,1.0,0.0,0.0,0.0,399777.185,159.02999400000002,22307.91515738238,1103.0
14,126900.0,350.649,441.3756047939902,22016.337108999658,356.44174250003493,296.69022302802944,1.0,0.0,0.0,0.0,399780.768,159.02999400000002,22307.91515738238,1103.0
15,126900.0,350.649,441.3756047939902,22016.337108999658,356.44174250003493,296.69022302802944,1.0,0.0,0.0,0.0,399778.271,159.02999400000002,22307.91515738238,1103.0
